DENOM_CIA,TIPO,DT_FIM_EXERC,RECEITA LIQUIDA,ATIVO CIRCULANTE,PASSIVO CIRCULANTE,CAPITAL CIRCULANTE LIQUIDO,LIQUIDEZ CORRENTE,LIQUIDEZ A SECO,EXIGIVEL A LONGO PRAZO,EXIGIVEL / ATIVO (TOTAL),ENDIVIDAMENTO GERAL,CAPITAIS DE LONGO PRAZO,COBERTURA DE JUROS,COBERTURA DE JUROS (CAIXA OPERAÇÕES),CUSTO DA MERCADORIA VENDIDA,CUSTO DA MERCADORIA VENDIDA %,DESPESAS OPERACIONAIS %,GIRO,ROA,ROE,ROI,MG_OP,MG_LIQ,JUROS,PAYOUT,GIRO DE VALORES A RECEBER,GIRO DE DUPLICATAS A PAGAR,PATRIMONIO LIQUIDO
ARTERIS S.A.,RODOVIAS,2010,2184529,1387678,1637298,-249620,"0,8475414982","0,8466806287",2097398,"0,7745958344","3,436475242","1,929917803","-2,100965593","-7,518011523",-1385738,"-0,6343417734","-0,0692332306","0,4530829453","0,1353836179","0,279954287","288,9354226","0,2988053718","0,1392744157","-0,1663803426","0,2256375535","102,9200254","-38,96681851",1086781
ARTERIS S.A.,RODOVIAS,2011,2712120,1390333,945480,444853,"1,470504929","1,465459872",3206348,"0,748039513","2,968876278","2,292785375","-2,222107655","-7,913115207",-1751798,"-0,645914635","-0,06112893235","0,4886457059","0,1456061939","0,2891742364","384,0417854","0,2979790717","0,1491069717","-0,1751943963","0,0440385167","108,6989369","-30,85754045",1398451
ARTERIS S.A.,RODOVIAS,2012,3118797,899905,1045667,-145762,"0,860603806","0,8563586687",3395669,"0,7342968908","2,763599165","2,112938092","-2,461839864","-9,72378798",-2105570,"-0,6751224911","-0,05989328578","0,5156382989","0,138366714","0,2511169298","383,2535613","0,2683406454","0,1293979698","-0,153084117","0,04984067042","111,1811133","-38,51276705",1607084
ARTERIS S.A.,RODOVIAS,2013,3377473,1161458,900491,260967,"1,289805228","1,285550883",4588947,"0,7449355144","2,920577174","2,441483784","-2,795012779","-10,57701593",-2237115,"-0,6623635481","-0,06107968887","0,4583346395","0,1285142606","0,248109544","442,8679962","0,2803939513","0,1380736426","-0,1234465167","0,04756829781","105,7070694","-36,63947918",1879573
ARTERIS S.A.,RODOVIAS,2014,4018133,1818486,1757816,60670,"1,03451442","1,031684204",5713235,"0,7782484228","3,509550789","2,683810939","-2,250513991","-9,386818726",-2812470,"-0,6999444767","-0,05104360657","0,4185630201","0,1054738689","0,2146114882","434,2775665","0,2519904145","0,1136995714","-0,1204411535","0,05916035547","103,9163369","-39,37158776",2128777
ARTERIS S.A.,RODOVIAS,2015,3827963,918364,2687121,-1768757,"0,341765034","0,340115313",5149600,"0,7773314077","3,490979126","2,293962757","-1,111875585","-6,128371559",-2888230,"-0,7545083377","-0,05639866425","0,3796990945","0,07277437939","0,06652652361","141,8252612","0,1916632946","0,03901343874","-0,1684015547","0,2227772495","90,35779957","-41,4406956",2244849
ARTERIS S.A.,RODOVIAS,2016,4052399,844415,2678455,-1834040,"0,3152619701","0,3122973879",4179975,"0,6023007006","1,514462564","0,9230123594","-1,355327403","-6,258806616",-3040377,"-0,7502659536","-0,06679056036","0,3558777675","0,08221152567","0,0573176438","13661,57895","0,2310105693","0,06405341626","-0,2014211707","0,229810841","103,4619843","-27,09131492",4528623
ARTERIS S.A.,RODOVIAS,2017,4406011,974834,2050785,-1075951,"0,4753467575","0,471552113",5670665,"0,539497759","1,171542093","0,8603853862","-1,715414054","-10,40887151",-3358667,"-0,7622920143","-0,06330987372","0,3078480157","0,0539462824","0,03746804468","12997,15789","0,1752367391","0,05604752235","-0,1165823777","0,2283049736","109,6711492","-39,72520772",6590843
ARTERIS S.A.,RODOVIAS,2018,3855913,1331976,2165113,-833137,"0,6151992991","0,6108681164",6546262,"0,5742707583","1,348910768","1,013654366","-0,458926438","-7,071682009",-3330660,"-0,8637798623","-0,06918413356","0,2541892735","0,01763721784","-0,02928749268","-9954,789474","0,06938616094","-0,04905219594","-0,1338444275",0,"107,9029803","-37,16155378",6458081
ARTERIS S.A.,RODOVIAS,2019,3863499,854143,1560720,-706577,"0,5472749757","0,5440341637",7306779,"0,5800057049","1,380984722","1,137925154","-0,8776118368","-6,485679675",-3065702,"-0,7935040232","-0,06496365083","0,2527038865","0,03641612096","-0,005752715015","-1944,157895","0,1441058999","-0,009561022275","-0,1430832978",0,"81,51830655","-45,74889385",6421142
ARTERIS S.A.,RODOVIAS,2020,3625619,1137716,2140839,-1003123,"0,5314346385","0,530992055",7656687,"0,6058896586","1,537360467","1,20143472","-0,743582398","-6,723242563",-3066562,"-0,8458037097","-0,05510369402","0,2242122203","0,02616403633","-0,007561486802","-2536,263158","0,1166931771","-0,01329124765","-0,116148097",0,"86,26315883","-46,54416028",6372953
ARTERIS S.A.,RODOVIAS,2021,4288589,2014021,1928021,86000,"1,044605323","1,044605323",9733298,"0,6433580928","1,803932964","1,505680199","-0,7359734692","-5,291154003",-3439950,"-0,8021169667","-0,04837441872","0,2366026039","0,03450227177","-0,02452932111","-8345,631579","0,1458237196","-0,03697416563","-0,1457346292",0,"84,79661888","-42,23103412",6464386
ARTERIS S.A.,RODOVIAS,2022,4838895,1957523,2183350,-225827,"0,8965685758","0,8965685758",11000267,"0,7313048796","2,721690214","2,270948788","0,3872944195","-4,624030939",-3794974,"-0,7842645893","-0,04496336457","0,2684170456","-0,02349263141","-0,3345393843","-85288,31579","-0,08752287454","-0,3348859605","-0,1658906657",0,"80,59452032","-30,96749818",4843908
BBM LOGÍSTICA S.A.,LOGÍSTICA,2017,289750,101537,80989,20548,"1,253713467","1,251385991",65169,"0,6817229879","2,141917142","0,9550390551","-0,889474641","-19,29600679",-246490,"-0,8506988783","-0,09902329594","1,351477413","0,06846708179","0,04550317277",,"0,05066091458","0,0107161346","-0,2258241082","0,2376811594","22,43081092","-32,40517978",68237
BBM LOGÍSTICA S.A.,LOGÍSTICA,2018,507618,152919,116278,36641,"1,315115499","1,306068216",97439,"0,6823550071","2,148168623","0,9794045513","-1,490646396","-29,40417273",-439837,"-0,8664724261","-0,07446544449","1,620721253","0,08828083843","0,05846936314",,"0,05447009365","0,01145940451","-0,1735846938","0,2375795083","16,515959","-33,68720561",99488
